9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,33,3,3,3,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,3,3,3,8
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1,1,25,3,3,3,3,3,3,3,3,3,27,1,1,2,4
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,54,1,1,1,1,1,1,1,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,54,4
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1,1,14,1,1,1,26,2,2,2,2,2,2,2,2,2,28,1,1,2,4
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1,14,1,1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,1,1,1,4
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1,14,1,1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,1,1,1,4
7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,29,11,11,11,11,11,11,11,11,11,11,11,20,11,11,11,11,11,11,11,11,22,1,1,14,1,1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,1,1,1,4
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,57,1,1,1,1,57,1,1,57,1,1,14,1,1,1,1,1,1,1,1,1,1,1,14,1,1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,1,1,1,4
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,1,1,1,1,1,1,1,1,1,1,1,14,1,1,1,13,1,1,1,1,1,1,1,14,1,1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,1,1,1,4
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,1,1,1,1,1,1,1,1,1,1,1,14,1,1,1,14,1,1,1,1,1,1,1,14,1,1,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,1,1,1,4
